error_x0_a,error_x0_b,error_x0_c,error_polytope,net_prob_x0,net_class_x0,net_approx_prob_x0,net_approx_class_x0,net_prob_x_opt,net_class_x_opt,net_logits_x_opt,net_approx_prob_x_opt,net_approx_class_x_opt,net_approx_logits_x_opt
0.00025223,0.00025223,0.00025223,27.22929113,0.99998105,1,0.99998062,1,0.99820762,1,"[6.252018354828363e-09, 0.998207619783172, 8.946713197098514e-05, 1.1607221862913842e-06, 2.901943176253344e-05, 7.641235229525415e-05, 0.0004366168713691913, 0.00024778045909100617, 0.0009114310736994252, 4.859224351614542e-07]",0.99969335,1,"[9.009419724768462e-12, 0.9996933464878749, 1.0804008111027306e-06, 5.156345673784463e-11, 3.417669971106117e-10, 1.7723782894945575e-08, 1.0632956290434659e-06, 0.000304491611810473, 7.768230898275249e-11, 6.955717630646691e-14]"
0.00006875,0.00006875,0.00006875,27.40810408,0.99999522,1,0.99999446,1,0.76960304,1,"[5.608964324087585e-13, 0.7696030390618294, 1.5852711021519263e-10, 4.556977267845205e-05, 0.02572273125776249, 1.1520867294350655e-06, 9.429254696388762e-07, 2.9722014254189523e-06, 0.20354604945074317, 0.0010775430842738223]",0.99996649,1,"[6.269453497111411e-16, 0.9999664864055415, 1.9875706494528163e-16, 2.3302679145924187e-10, 3.3499364823073375e-05, 5.4393239942124904e-14, 1.9487171836386403e-12, 2.497852696069826e-11, 7.113578152363597e-11, 1.3898490408913669e-08]"
0.00193844,0.00193844,0.00193844,25.86766017,0.99980516,1,0.99958617,1,0.70474915,3,"[2.0704067799859724e-06, 0.0003018095210048348, 0.1365523592605814, 0.7047491461445291, 4.9400140204533635e-17, 3.933569419505204e-05, 1.3139692349570451e-12, 0.15829463486657774, 6.0638149697265886e-05, 5.955320640270464e-09]",0.99652426,7,"[8.87655106439057e-08, 0.00011046911170389322, 4.673072950918692e-05, 0.003318447332135479, 5.539404323220911e-23, 6.755728223934651e-09, 1.0169965492260916e-16, 0.9965242564043879, 9.00395846043354e-10, 6.288563038178326e-13]"
0.00009710,0.00009710,0.00009710,27.73855358,0.99999504,1,0.99999983,1,0.57493560,3,"[4.700542782837545e-12, 0.42113343540811343, 0.003925148450371223, 0.5749355973838512, 2.9393353401521163e-08, 1.3442331175729807e-07, 1.998570183999493e-06, 2.084916446454476e-06, 1.5713926210350292e-06, 5.704700496197162e-11]",0.99994146,1,"[4.792887702803573e-16, 0.9999414569289353, 1.281412102467999e-05, 4.572732421899115e-05, 2.231950233795448e-10, 8.739325690525163e-12, 1.1338624991027886e-09, 2.0387349724759244e-10, 5.614013887759503e-11, 9.730804341172853e-15]"
0.00013468,0.00013468,0.00013468,28.37455065,0.99999268,1,0.99999978,1,0.98838193,1,"[3.661466494624079e-08, 0.9883819317199352, 7.876279333449299e-08, 0.007039394733260559, 7.018223369705521e-06, 0.0022366663195534935, 1.8087503161435465e-05, 6.527340305059211e-05, 0.0018732707513618022, 0.00037824196884914395]",0.99999988,1,"[2.5199071632625577e-13, 0.9999998835909112, 1.2271375669246549e-12, 5.2184841310381703e-08, 5.457498368894447e-09, 4.507680908803189e-12, 1.839533811235274e-13, 5.260509973553603e-08, 1.2718130477710542e-11, 6.142760456896744e-09]"
0.00002341,0.00002341,0.00002341,27.26000546,0.99999849,1,0.99999795,1,0.81491706,1,"[1.4471165157425569e-08, 0.8149170618557399, 0.007002703979063309, 4.403342192850971e-05, 4.286583654519878e-06, 0.00010757469646453192, 0.0010456322090784385, 0.0005848537915286095, 0.1762926442731045, 1.194718272659352e-06]",0.99995239,1,"[3.1711791688734914e-12, 0.999952394499485, 4.069768810593062e-05, 6.510203812271069e-09, 4.834702510037608e-12, 6.750994816724448e-10, 1.2848663692143167e-08, 6.866654722567558e-06, 2.1114872107104805e-08, 8.415156615724694e-13]"
0.01584807,0.01584807,0.01584807,27.71780136,0.99801565,1,0.99608671,1,0.70187940,2,"[6.852405474825615e-05, 0.11363698061807302, 0.7018793995471053, 0.0005384416944454489, 1.25902974154971e-05, 2.2612784231360004e-09, 2.4133699593465937e-07, 0.0006693518464153373, 0.18319436618505866, 1.0215846412971675e-07]",0.99975175,1,"[7.623664414988001e-05, 0.9997517455652325, 6.972444808545043e-06, 2.582784054245347e-09, 1.4989822414336755e-07, 4.7557884742026425e-15, 5.397814777863159e-10, 0.00016488654281775095, 5.773200088620525e-09, 8.996960541057812e-12]"
0.00009304,0.00009304,0.00009304,26.98858776,0.99999371,1,0.99999918,1,0.85078511,1,"[1.911374613822954e-07, 0.8507851112571901, 9.65171018138538e-06, 0.0038127640065507163, 3.675014631208661e-05, 0.0021954067721965728, 2.603604218901127e-06, 0.004959277121731713, 0.1275465052671833, 0.010651738976973728]",0.99999111,1,"[1.0356065459274183e-13, 0.999991107849202, 4.739773583456755e-10, 5.471372418011767e-08, 1.65787170366472e-11, 2.1420822616163293e-07, 8.662527827228673e-11, 8.605505102660948e-06, 1.6934715500598395e-08, 2.1174445168550585e-10]"
0.00008660,0.00008660,0.00008660,26.79228611,0.99999542,1,0.99999996,1,0.51025141,9,"[2.0064234419311296e-07, 0.06151279557308194, 1.7579364600567705e-06, 0.4007232446460246, 5.795820554848092e-05, 5.8587501670579915e-05, 1.5547961229834749e-07, 0.003837050573875491, 0.023556842180286548, 0.5102514072610959]",0.99998448,1,"[1.429580231353023e-13, 0.9999844802895494, 7.546516058892485e-09, 4.324428634533257e-06, 1.1929897763802765e-09, 4.196686905939259e-09, 3.2352612692106946e-10, 1.1173853365900735e-05, 7.3517335621946015e-09, 8.168547152805231e-10]"
0.00001002,0.00001002,0.00001002,27.50004022,0.99999948,1,0.99999989,1,0.99816054,1,"[1.421744889837207e-08, 0.9981605392152564, 1.9402051042533767e-06, 1.8733718755391912e-07, 1.5916150977557216e-05, 3.063690731757592e-09, 8.900034448388462e-08, 0.00015109942456157014, 2.2982634816703e-05, 0.0016472287506119]",0.99999932,1,"[3.3409352477782666e-14, 0.9999993221923864, 2.508021933055625e-10, 6.597049944113479e-13, 5.425240194730161e-11, 3.1898832106236533e-16, 1.0975579920826857e-12, 6.774978845712501e-07, 3.0288470919271705e-14, 2.8532015334558567e-12]"
0.00006552,0.00006552,0.00006552,28.00261041,0.99999672,1,0.99999998,1,0.84888571,1,"[2.8955815517217054e-11, 0.8488857106596317, 8.65335517531615e-06, 0.0012025317803705123, 2.0696050458103653e-09, 4.273062259353669e-08, 8.675723070051037e-08, 1.2807877725498475e-05, 0.1498872902797234, 2.8744609595609722e-06]",0.99999928,1,"[1.2104208655839447e-12, 0.999999279205156, 2.889059808625985e-12, 1.084480650291077e-08, 1.8957481466486103e-12, 2.321998341724188e-13, 4.687054991122909e-13, 7.057574012059476e-07, 3.0537438141457792e-09, 1.1321963967772853e-09]"
0.00220452,0.00220452,0.00220452,28.49253419,0.99992419,1,0.99829480,1,0.96436189,7,"[7.096129027896007e-08, 0.00091108512518083, 5.680622666246941e-06, 0.0322934652982743, 6.732915744145464e-15, 0.0004087895412150587, 9.566682209393983e-10, 0.9643618917746921, 0.002018921224758836, 9.449524747641078e-08]",0.99999681,7,"[1.20786150955847e-10, 6.180939123341414e-07, 5.106034169751519e-10, 2.5584871459857473e-06, 4.500644599093577e-22, 6.462643075586714e-09, 5.258346121461828e-16, 0.9999968147654, 1.5594602779578535e-09, 4.813871663241593e-14]"
0.00002500,0.00002500,0.00002500,0.00002653,0.99999863,1,0.99999997,1,0.99999855,1,"[4.630068261170433e-14, 0.9999985470666191, 9.254186225826782e-10, 1.3154735712741692e-09, 5.815243922853345e-07, 5.963647096319952e-13, 8.658466591666368e-11, 8.529266102358222e-07, 8.124654459234267e-09, 8.02960446150449e-09]",0.99999997,1,"[4.1087121283318126e-17, 0.9999999666526407, 7.561385147508261e-13, 2.809101644022599e-12, 4.266942409729651e-09, 1.3798862593327748e-15, 2.4157160054230606e-12, 2.9068238197684214e-08, 3.3552050648771836e-12, 2.8410544660813896e-12]"
0.00011726,0.00011726,0.00011726,27.64095029,0.99999198,1,0.99999084,1,0.79768971,2,"[0.038561066004357, 0.11685928962174677, 0.7976897103208405, 5.440816072774262e-06, 5.699438564575289e-18, 3.1459324527836416e-06, 1.6030896944313578e-10, 0.002253921967874806, 0.044627424985440395, 1.909060566699594e-10]",0.99166950,0,"[0.9916695034644526, 0.0009532455241233292, 0.005589849100960911, 9.537269284056516e-07, 8.255764992773353e-22, 1.611114040342864e-08, 3.273763888457996e-13, 5.688576579638382e-07, 0.0017858632135045324, 9.045088694606483e-13]"
0.00107339,0.00107339,0.00107339,29.36272578,0.99993311,1,0.99999210,1,0.90932596,1,"[3.781395542363971e-11, 0.9093259631061418, 1.2081142016577839e-08, 0.028706485999744135, 0.011516124549072146, 0.043173881319723925, 1.2578982897496941e-05, 0.00011025393093755978, 0.0024186435518532058, 0.004736056440673615]",0.64532776,4,"[1.489111684885613e-14, 0.3541848548055336, 3.1767520403336467e-10, 1.723684928017439e-07, 0.6453277580118453, 2.1137398585926365e-06, 1.2885927213459512e-09, 1.14757477964332e-06, 8.841137214202456e-08, 0.0004838634818350733]"
0.00033764,0.00033764,0.00033764,27.86195797,0.99997636,1,0.99998692,1,0.98636343,1,"[2.3351674001212166e-09, 0.9863634299398812, 3.5167848127646466e-05, 4.328549557027955e-07, 2.307652493265175e-05, 2.987561230136569e-05, 3.905460072134295e-05, 3.971817632364745e-05, 0.013467263767209046, 1.978340379796639e-06]",0.99999600,1,"[6.804830221193493e-13, 0.9999959957361814, 5.014413129608378e-09, 1.14835490685199e-13, 6.205729309310808e-11, 3.819789186879893e-12, 8.244216610310456e-10, 3.998354536133459e-06, 3.6246523433187516e-12, 1.506686620474207e-13]"
0.00008355,0.00008355,0.00008355,27.58184531,0.99999621,1,0.99999995,1,0.90736746,1,"[1.621448910553829e-10, 0.9073674621594691, 0.0036064119776237176, 0.015588164134008712, 4.965294135537588e-10, 0.0006862779684740369, 0.00041532771565764095, 1.0871183043599739e-05, 0.07232548145350791, 2.749541170410061e-09]",0.99999815,1,"[3.0008019354117873e-13, 0.9999981510930392, 1.2101925046507068e-07, 1.5500671158399744e-07, 9.195654632474058e-14, 2.4164492810112436e-09, 4.709701650670196e-08, 1.4543006035203327e-06, 6.906645863467874e-08, 7.889425560071592e-14]"
0.00051588,0.00051588,0.00051588,26.24182918,0.99997417,1,0.99999270,1,0.53026589,3,"[3.942337475260452e-11, 0.4685503245975037, 2.5765872669537995e-06, 0.5302658945790383, 1.2838779301688703e-11, 5.2303211625317275e-06, 2.3150436260196508e-07, 1.9876986560613986e-07, 0.0011755434981084068, 9.042982144008341e-11]",0.99999470,1,"[2.8611035877984067e-12, 0.9999947015846415, 4.052536310384157e-10, 5.2586060686001e-06, 7.179783485647953e-13, 7.390004284866985e-12, 3.704430343057135e-11, 3.502783058945567e-08, 4.3280405144313086e-09, 1.5166056910815318e-13]"
0.00003728,0.00003728,0.00003728,28.32680044,0.99999807,1,0.99999974,1,0.57188719,3,"[2.395020519858004e-09, 0.42628888595534825, 2.3092135451297902e-05, 0.5718871893480352, 3.018048665906834e-07, 1.9005724771656612e-05, 2.9599165861084393e-06, 1.6252928209865403e-06, 0.0017759645479743472, 9.728791250987215e-07]",0.99999993,1,"[1.3583530528558402e-14, 0.9999999328717423, 1.3164545118557013e-10, 5.024585612040729e-08, 8.130448817607525e-09, 2.469307709327837e-10, 5.808991435882026e-09, 9.97075482543751e-10, 1.441239469501286e-09, 1.2605669836843195e-10]"
0.00049489,0.00049489,0.00049489,28.35012497,0.99996810,1,0.99999853,1,0.99992564,1,"[1.2892539374470106e-12, 0.999925640936887, 6.649721234885178e-08, 2.629217312901183e-07, 1.983482503974541e-06, 1.7526494460563492e-09, 1.7328443724649098e-08, 1.484952210810984e-06, 6.926451099556535e-05, 1.2776160768373337e-06]",1.00000000,1,"[3.0191096265433984e-18, 0.9999999990754116, 3.3553322673240487e-13, 2.934713893645569e-12, 7.234504563399411e-10, 2.369446581423251e-14, 7.568861494270841e-13, 1.8805151879697389e-10, 1.0890712610355874e-12, 7.946393510267289e-12]"
0.00000162,0.00000162,0.00000162,0.00000162,0.99999993,1,1.00000000,1,0.99999993,1,"[1.170707736686261e-15, 0.9999999311043121, 1.4241152756845032e-10, 9.364695775642854e-10, 1.030697124186671e-08, 2.604565872932271e-13, 1.0363034497290685e-11, 2.5704393924300827e-08, 3.01284323131782e-08, 1.6663846692492045e-09]",1.00000000,1,"[1.0324190689585385e-17, 0.9999999951934524, 1.8086931424823032e-13, 3.2874354364465776e-12, 3.245624672488985e-09, 1.725450976362611e-15, 6.730157333896253e-13, 1.5540585673171163e-09, 1.867113318897779e-12, 8.539190738112343e-13]"
0.00000862,0.00000862,0.00000862,0.00003048,0.99999956,1,0.99999997,1,0.99999836,1,"[4.541639777711963e-12, 0.9999983593467333, 9.16761382551958e-10, 2.451404099343443e-08, 6.420311980902097e-07, 6.839586067748463e-11, 5.417648586049351e-10, 5.228930654130568e-07, 8.234922437159895e-09, 4.414485760661916e-07]",0.99999991,1,"[7.157854399867817e-14, 0.999999906070982, 1.7410880435325178e-12, 1.5477947917662486e-11, 1.4057679391054253e-08, 6.0803857136034434e-15, 5.441292561042406e-13, 7.92050016083307e-08, 3.467942620426952e-13, 6.481492160026924e-10]"
0.00086959,0.00086959,0.00086959,27.23541709,0.99993855,1,0.99999676,1,0.86825474,1,"[2.012615179106538e-07, 0.8682547449135041, 0.00281326462370373, 0.02155309683936179, 8.506130067993143e-09, 3.686344457566984e-07, 4.7881180848666015e-08, 0.008839091580335074, 0.09852324180066423, 1.593395915663282e-05]",0.99808598,1,"[3.446038055208258e-08, 0.9980859750206663, 9.71504402138681e-07, 0.0018766590683644546, 3.350423654093516e-14, 3.625510526658128e-10, 3.0536362001964147e-12, 2.7794816053312586e-05, 8.564649197356202e-06, 1.1529764885010117e-10]"
0.00003875,0.00003875,0.00003875,26.82744382,0.99999771,1,0.99999993,1,0.60327062,3,"[4.2561180781065754e-09, 0.3966382488323518, 1.2383968673054929e-05, 0.6032706165199335, 5.0809638661401e-06, 1.3628474177499431e-06, 3.6779060002170264e-08, 8.829632420285348e-06, 1.6273049881012523e-05, 4.7163150278365885e-05]",0.99797443,1,"[4.947195710797832e-16, 0.9979744325549789, 5.714607465869302e-08, 0.002025507437008393, 1.914206968089129e-12, 1.5400799572948451e-09, 6.493366530929526e-12, 4.216459178657573e-10, 8.856472998306635e-10, 6.156737418021557e-12]"
0.00017970,0.00017970,0.00017970,26.65888254,0.99999119,1,0.99999924,1,0.99292071,1,"[1.447488578184114e-07, 0.9929207063641424, 8.013901839895496e-07, 1.7099965600439146e-06, 6.418387500221489e-10, 1.150911057162161e-11, 8.404476707308385e-12, 2.1390808844055925e-05, 0.0070521599694767165, 3.086060182663416e-06]",0.99997293,1,"[5.873174083355594e-09, 0.9999729341231243, 1.567064582598593e-11, 5.29037522472576e-10, 1.2053315396724044e-11, 1.4256465944601442e-18, 3.070966370292771e-17, 2.705786046191076e-05, 7.520706321219383e-10, 8.344076335023714e-10]"
0.00000435,0.00000435,0.00000435,0.00004398,0.99999982,1,1.00000000,1,0.99999842,1,"[4.125135340522078e-15, 0.9999984205151308, 3.7279922061383884e-11, 4.7959455282570094e-08, 7.557014209976429e-08, 2.1494189316977552e-11, 4.631542148619849e-10, 2.9906815171003407e-09, 1.4396263907891551e-06, 1.2816266888941384e-08]",0.99999999,1,"[1.1338164422039877e-16, 0.9999999941754771, 2.8973409252322033e-13, 5.365436579262283e-10, 4.9311051326056185e-09, 2.66880281365867e-14, 7.165984397264586e-13, 1.288509782908604e-10, 2.0886648888041975e-10, 1.8123461089617435e-11]"
0.00022847,0.00022847,0.00022847,26.82456674,0.99998976,1,0.99999995,1,0.86758223,8,"[2.3731429130966263e-14, 0.13232978393070136, 4.528754478581132e-05, 3.9944645251737955e-05, 9.287232317586869e-08, 2.2372224002111834e-08, 6.534998085337576e-07, 1.9890090811347474e-06, 0.8675822260281058, 9.769493713549676e-11]",0.99999159,1,"[2.385610979307168e-14, 0.9999915898305326, 3.379177567342412e-09, 2.0317888291288324e-07, 2.405094824971898e-10, 2.876596978662358e-13, 3.5647528946412244e-11, 4.261669894427116e-06, 3.9416647696554005e-06, 2.7430351038923285e-13]"
0.02447583,0.02447583,0.02447583,28.06981843,0.99844912,1,0.99989263,1,0.97800885,1,"[7.696322865151592e-06, 0.9780088545560603, 2.814937919299921e-09, 3.5297116691367534e-08, 2.1849451535364526e-05, 1.4800558019965707e-05, 0.0015832574887142418, 1.1867583485810307e-05, 0.02019717533659132, 0.00015446059067337247]",0.99999319,1,"[1.4442192522502676e-07, 0.9999931917563223, 2.5659451949856804e-12, 9.450218282805123e-13, 1.923932575987084e-06, 8.829775159745608e-10, 1.0230766105688469e-06, 3.6974886201736955e-06, 9.947352538842676e-10, 1.7442722024092337e-08]"
0.00390314,0.00390314,0.00390314,26.73818257,0.99971109,1,0.99997905,1,0.85389709,1,"[7.517120668479249e-08, 0.8538970857828705, 0.00024617788356381, 0.02107997648795537, 8.370187974816645e-07, 0.08024112931245118, 1.243923943318433e-05, 0.031473033873121295, 0.013048824862290287, 4.2036831008202e-07]",0.99867970,1,"[3.3972014709887286e-11, 0.9986796952305466, 1.117656052476587e-10, 1.6615548836357158e-06, 4.2511457043359265e-09, 1.86573527357571e-05, 6.363759380880035e-10, 0.0012993862675925799, 5.885566335702787e-07, 6.004348802795304e-09]"
0.00018230,0.00018230,0.00018230,26.93888948,0.99998872,1,0.99999895,1,0.73725190,1,"[9.71282893986192e-10, 0.7372518997681935, 2.626951795508899e-07, 0.00017125807511179258, 7.67199013949122e-06, 0.03916646085546861, 0.00600112252817333, 1.3995740402900734e-06, 0.2173998629821543, 6.056025635028962e-08]",0.99997169,1,"[9.780833284736809e-12, 0.9999716886884105, 6.311882108623624e-10, 2.429335242157088e-09, 2.8852650386215003e-08, 1.0629954768619445e-06, 2.6947940776905256e-05, 6.821837653363033e-08, 2.0023378493460848e-07, 2.197717264560428e-13]"
0.00039713,0.00039713,0.00039713,28.05973735,0.99997371,1,0.99999862,1,0.94062304,1,"[1.6598158538493105e-08, 0.9406230377128338, 0.00010365130271180637, 0.002779892111478021, 3.8584346897116396e-10, 0.0022184279637692565, 9.177669490368834e-08, 0.054266947909681104, 3.551530242731507e-06, 4.382708586476515e-06]",0.99913936,1,"[3.756712041352041e-14, 0.9991393643702062, 2.3796160924594336e-09, 1.7312815514110365e-08, 3.4854839298534494e-15, 2.0130676901312932e-06, 8.17525198678445e-11, 0.0008586027871816235, 3.4173360766366607e-13, 3.5525585000557536e-13]"
0.00005333,0.00005333,0.00005333,27.47524450,0.99999669,1,0.99999835,1,0.82894305,1,"[2.3012265733859093e-09, 0.8289430539898404, 0.002008863480540237, 0.003873737282466167, 8.153621758833192e-11, 1.635057351561502e-05, 2.389380846760492e-08, 0.16515630888325813, 1.6022454262890431e-06, 5.726838188097391e-08]",0.98172559,1,"[1.905773605464911e-13, 0.9817255904103859, 1.0628805629595175e-06, 2.7449521451479935e-06, 6.323048832435562e-16, 1.0765255195539439e-10, 7.602631352615548e-13, 0.01827060163425001, 1.1578474333241503e-11, 2.473287357737827e-12]"
0.00007980,0.00007980,0.00007980,26.82321110,0.99999639,1,0.99999999,1,0.90865847,8,"[1.0413720120985446e-10, 0.08802487872203461, 7.30072046276818e-05, 0.0031283661879009683, 1.9044942873415573e-08, 3.232470781064202e-05, 8.234593659836306e-05, 4.7158638471819237e-07, 0.9086584727401485, 1.1376541452077176e-07]",0.99998708,1,"[1.6661406621934686e-11, 0.9999870814957864, 8.778977300741358e-08, 1.2570799595821988e-05, 1.692673220205926e-11, 4.0081646153792546e-11, 5.002913927308958e-10, 8.58373518517588e-08, 1.7348734986616773e-07, 1.6181854827170418e-11]"
0.00020631,0.00020631,0.00020631,27.48280525,0.99998708,1,0.99999958,1,0.61714352,8,"[1.5643942908994415e-06, 0.2295732825406626, 0.00017539020233476498, 0.04102484526476945, 1.953704101910848e-05, 7.576733340494454e-05, 0.00027797466932030996, 0.005025918427606876, 0.6171435238579867, 0.10668219626860449]",0.99994786,1,"[6.867757769033517e-13, 0.9999478569567242, 2.0180148589441543e-09, 3.0771044073624395e-09, 6.490275943418719e-10, 7.265971573982472e-13, 1.572488957818618e-10, 5.2136956826368215e-05, 1.2943682527354908e-10, 5.420359044676674e-11]"
0.00001447,0.00001447,0.00001447,0.00001728,0.99999927,1,0.99999999,1,0.99999912,1,"[3.0861232881905226e-12, 0.9999991191413306, 3.712155668171616e-10, 7.411114259315678e-08, 6.084520947028996e-07, 8.451706617507956e-12, 4.3322006449351794e-10, 2.725058887017459e-08, 1.242254299825295e-07, 4.6003440108481276e-08]",0.99999998,1,"[2.299827128825553e-13, 0.9999999843318574, 2.2000513621326967e-12, 1.3692893024067969e-09, 9.258541936150868e-09, 2.38410858312468e-15, 2.944026191355265e-13, 4.7885521858381975e-09, 6.098738198402636e-11, 1.880448722354764e-10]"
0.00480859,0.00480859,0.00480859,26.44953552,0.99964608,1,0.99998991,1,0.99542336,1,"[3.2089985252733274e-08, 0.9954233640779002, 7.853332858243259e-05, 6.809239890504093e-05, 2.079868552761427e-06, 2.1790112578477972e-07, 0.0002571623652198551, 7.357714768858882e-06, 0.004163159753684885, 5.012751513039253e-10]",0.99999922,1,"[1.1036069736006275e-09, 0.9999992177015455, 4.905252811194977e-07, 1.059186156278054e-08, 4.9076949434631936e-12, 2.7344970977075366e-13, 7.275191057572455e-09, 2.6040412938885067e-07, 1.2393202838867752e-08, 2.2982136036750547e-17]"
0.00000457,0.00000457,0.00000457,26.93860417,0.99999977,1,0.99999999,1,0.99443012,1,"[2.2854211393829342e-10, 0.9944301197092851, 0.0010483234652954151, 2.5199591506123145e-05, 0.00013909410879420128, 4.655405495678614e-11, 4.588135471011083e-07, 0.004356795255709107, 8.567880194316628e-09, 2.1288663075792802e-10]",0.99999995,1,"[9.278893437995644e-19, 0.9999999518783466, 1.8790261620646123e-08, 5.615322317524019e-09, 8.00788390993515e-13, 4.661366281051311e-16, 1.6462877239864635e-13, 2.3715091608245257e-08, 1.1952423815670016e-14, 8.886390321967571e-17]"
0.00016285,0.00016285,0.00016285,28.09320578,0.99999279,1,0.99999997,1,0.99328041,1,"[2.2284668380792012e-10, 0.9932804094250094, 0.0023399544617959413, 0.0013459703289413264, 4.487677678697452e-09, 2.6772906889138066e-07, 2.5047127846954785e-08, 0.0027529827160702003, 0.0002803757197907999, 9.86167129519697e-09]",0.99996261,1,"[2.2310733842264926e-13, 0.9999626135223776, 1.0514820750675525e-06, 1.783629829940526e-08, 1.2545910410411102e-13, 1.811412310313394e-10, 2.5092922227992497e-11, 3.6316485672721775e-05, 4.669261638759199e-10, 6.753040767078514e-14]"
0.00057496,0.00057496,0.00057496,28.22752927,0.99996775,1,0.99999968,1,0.97017953,1,"[6.430451438727847e-08, 0.9701795273660839, 7.45073165717729e-05, 0.024899167535753414, 1.3811634656888904e-05, 1.9128771945573786e-06, 1.8959199765446851e-07, 0.00015363417547128368, 0.00010427045033451217, 0.004572914747421739]",0.99999965,1,"[2.4741297398983162e-14, 0.9999996491488438, 4.426137578393575e-10, 1.7892811833215567e-09, 2.5332271699245834e-07, 6.357406748164236e-12, 7.325362799350207e-12, 3.3283424572602713e-08, 1.3480573289444198e-11, 6.198593167725137e-08]"
